,false belief (F),false belief (T),no transfer (F),no transfer (T),informed protagonist (F),informed protagonist (T),present protagonist (F),present protagonist (T)
0,1,1,0,0,0,1,0,0
1,0,1,0,0,0,0,1,0
2,1,0,0,0,0,0,0,0
3,1,0,1,0,1,1,0,1
4,0,0,0,1,1,1,0,0
5,0,1,1,1,1,1,0,0
6,0,0,0,0,1,0,0,0
7,1,0,1,0,1,0,0,0
8,0,0,0,0,1,1,0,1
9,1,0,0,0,1,0,0,0
10,0,1,1,0,1,1,0,0
11,1,0,0,0,0,0,1,1
12,0,1,0,0,1,0,0,0
13,1,0,0,0,0,0,0,0
14,1,0,0,0,0,1,0,1
15,0,0,0,0,0,0,1,0
16,0,0,0,0,1,0,0,0
17,0,1,0,0,0,0,1,0
18,0,1,1,1,1,1,1,0
19,1,1,0,0,1,0,0,0
