,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,1,0,0,1,1,0,0,0
1,0,1,1,1,0,0,0,0
2,0,1,0,0,0,1,1,1
3,1,1,1,1,0,1,1,1
4,1,1,1,1,1,1,0,0
5,0,0,0,0,1,1,1,0
6,1,1,0,0,1,1,1,1
7,0,0,1,1,1,1,1,0
8,1,1,1,0,0,0,1,0
9,1,1,1,1,0,0,0,0
10,1,1,1,0,1,1,1,1
11,0,0,0,0,1,0,0,0
12,0,0,1,1,0,0,1,0
13,1,0,1,0,1,1,1,0
14,1,0,0,0,1,1,0,1
15,1,1,1,1,0,1,1,0
16,1,1,1,0,1,1,0,0
17,0,0,1,1,0,1,0,0
18,0,1,0,1,1,0,0,1
19,1,1,0,1,1,0,1,0
