,false belief (F),false belief (T),correct label (F),correct label (T),informed protagonist (F),informed protagonist (T),open container (F),open container (T)
0,1,1,1,0,0,1,0,1
1,1,1,1,0,0,1,1,1
2,0,0,0,1,1,0,0,0
3,1,1,1,0,0,1,1,1
4,0,1,0,0,1,0,0,0
5,1,0,0,0,1,1,0,0
6,1,1,1,1,1,1,1,0
7,0,1,1,1,1,1,0,1
8,1,1,0,0,0,1,0,0
9,1,0,0,1,0,1,0,0
10,1,0,1,1,1,1,0,0
11,0,1,0,1,0,1,0,0
12,0,1,1,0,1,0,1,0
13,0,0,1,0,1,0,0,1
14,0,0,1,1,1,0,1,0
15,0,1,1,0,0,1,0,1
16,1,1,0,0,0,1,0,0
17,0,0,1,0,0,1,0,1
18,1,1,1,1,0,1,0,1
19,1,1,1,0,0,1,1,1
